id,PROV_ID,NAME_1,NAME_2,ActivityEarned,MoneyEarned,AvgTransactionEarned,CustomerActivity,CustomerAvgTransaction,OutofProvinceEarnings,ForeignEarnings,EarningsDiversity,SpendingDiversity,BusinessDensity,AvgBusinessSize
4,4,Almera,Almeria,0.40153,0.40316,0.55782,0.60978,0.39069,0.15803,0.29752,0.76506,0.65327,0.38982,0.21745
11,11,Cdiz,Cadiz,0.44153,0.43291,0.071253,0.80891,0.04696,0.30606,0.3944,0.57667,0.65327,0.43847,0.7214
14,14,Crdoba,Cordoba,0.40216,0.40295,0.15933,0.41631,0.19574,0.41034,0.32973,0.36848,0.4027,0.38068,0.34595
18,18,Granada,Granada,0.40565,0.40704,0.63681,0.24623,0.65162,0.27537,0.56257,0.57667,0.65327,0.39108,0.41955
21,21,Huelva,Huelva,0.40164,0.40248,0.14255,0.5232,0.11068,0.16138,0.33545,0.36848,0.4027,0.37812,0.36865
23,23,Jan,Jaen,0.39885,0.40049,0.30857,0.042547,0.44909,0.56442,0.96893,0.19348,0.06333,0.37195,0.34305
29,29,Mlaga,Malaga,0.44723,0.4387,0.12983,0.75056,0.094878,0.10927,0.93697,0.8947,0.84959,0.47857,0.51341
41,41,Sevilla,Sevilla,0.42481,0.42137,0.17766,0.63412,0.20116,0.35647,0.40689,0.76506,0.65327,0.42053,0.60424
22,22,Huesca,Huesca,0.3958,0.39823,0.87459,0.19965,0.51139,0.80862,0.81627,0.36848,0.18757,0.36436,0.31238
44,44,Teruel,Teruel,0.39414,0.39652,0.3995,0.12354,0.24331,0.72393,0.24226,0.081593,0.06333,0.35937,0.16291
50,50,Zaragoza,Zaragoza,0.403,0.40425,0.43621,0.3348,0.45646,0.37551,0.29838,0.8947,0.84959,0.37932,0.49979
39,39,Cantabria,Cantabria,0.41396,0.41568,0.84886,0.4056,0.79459,0.5076,0.31932,0.57667,0.4027,0.418,0.4327
2,2,Albacete,Albacete,0.3981,0.3996,0.11912,0.42541,0.17218,0.32049,0.20224,0.36848,0.4027,0.36688,0.43865
13,13,Ciudad Real,Ciudad Real,0.39744,0.39933,0.34139,0.35633,0.47619,0.46816,0.19862,0.081593,0.06333,0.36615,0.43162
16,16,Cuenca,Cuenca,0.3948,0.39708,0.34099,0.21069,0.45608,0.78433,0.22443,0.027196,0.015082,0.35947,0.37713
19,19,Guadalajara,Guadalajara,0.39684,0.3988,0.31835,0.92146,0.43522,0.99996,0.2244,0.19348,0.4027,0.36358,0.50751
45,45,Toledo,Toledo,0.40086,0.40202,0.21624,0.70114,0.30405,0.89198,0.35105,0.57667,0.65327,0.37443,0.43764
5,5,Vila,Avila,0.39588,0.39809,0.52617,0.22854,0.48076,0.77673,0.23998,0.027196,0.06333,0.36576,0.22391
9,9,Burgos,Burgos,0.39691,0.39903,0.55194,0.22529,0.60289,0.72113,0.27114,0.36848,0.18757,0.36634,0.36187
24,24,Len,Leon,0.39922,0.40121,0.64923,0.21878,0.60902,0.4947,0.24347,0.36848,0.4027,0.36944,0.56141
34,34,Palencia,Palencia,0.39698,0.39909,0.55815,0.081609,0.67239,0.9098,0.23447,0.081593,0.18757,0.36388,0.55509
37,37,Salamanca,Salamanca,0.39868,0.40095,0.826,0.11715,0.80476,0.36667,0.4487,0.57667,0.65327,0.36926,0.53112
40,40,Segovia,Segovia,0.3972,0.39955,0.84194,0.16126,0.83745,0.60468,0.39107,0.081593,0.18757,0.36832,0.3538
42,42,Soria,Soria,0.39472,0.39713,0.75687,0.20048,0.75277,0.81159,0.27639,0.081593,0.06333,0.35925,0.43819
47,47,Valladolid,Valladolid,0.41316,0.41453,0.78435,0.18868,0.85651,0.45111,0.23521,0.57667,0.65327,0.38881,0.88271
49,49,Zamora,Zamora,0.3956,0.39791,0.66442,0.074734,0.80149,0.66886,0.23918,0.19348,0.4027,0.36288,0.33059
8,8,Barcelona,Barcelona,0.57606,0.56902,0.80461,0.95024,0.82556,0.18255,0.66096,0.98957,0.98971,0.82344,0.49206
17,17,Girona,Girona,0.42039,0.42282,0.93311,0.69138,0.76608,0.25953,0.9998,0.76506,0.65327,0.46449,0.28902
25,25,Lleida,Lleida,0.40355,0.40516,0.65158,0.665,0.67638,0.40845,0.87589,0.36848,0.65327,0.3786,0.61041
43,43,Tarragona,Tarragona,0.4232,0.42175,0.42366,0.92708,0.37779,0.30947,0.6037,0.76506,0.84959,0.44204,0.39657
51,51,Ceuta,Ceuta,1,1,0.7602,0.86554,0.86164,0.93994,0.32461,0.76506,0.98971,0.99998,1
52,52,Melilla,Melilla,0.99998,1,0.99868,0.36159,0.9975,0.86535,0.24775,0.57667,0.84959,1,0.99842
28,28,Madrid,Madrid,0.72982,0.70408,0.62638,0.85365,0.65907,0.29811,0.49565,0.99774,0.98971,0.79995,0.97084
31,31,Navarra,Navarra,0.40121,0.40294,0.60023,0.60314,0.61775,0.79848,0.44001,0.76506,0.65327,0.38338,0.29171
3,3,Alicante,Alicante,0.46844,0.45572,0.13663,0.66827,0.13271,0.13073,0.92008,0.76506,0.65327,0.55389,0.40967
12,12,Castelln,Castellon,0.41325,0.4112,0.074204,0.89738,0.061132,0.10727,0.45651,0.57667,0.4027,0.40982,0.35475
46,46,Valencia,Valencia,0.4524,0.44479,0.24558,0.94035,0.28482,0.16501,0.36784,0.76506,0.65327,0.49464,0.52314
6,6,Badajoz,Badajoz,0.39841,0.39992,0.16165,0.21812,0.22507,0.22382,0.43173,0.19348,0.18757,0.36687,0.50014
