indicator,get,description
Activity Earned,ActivityEarned,Density of number of transactions made within 1sq.km of the area
Money Earned,MoneyEarned,Density of amount of money earned within 1sq.km of the area
Avg Transaction Earned,AvgTransactionEarned,Average amount of transactions made within the area
Customer Activity,CustomerActivity,Average activity (number of transactions) of the area residents
Customer Avg Transaction,CustomerAvgTransaction,Average transaction amount of the area residents
Out of Province Earnings,OutofProvinceEarnings,Percentage of the number of transactions made within the area by its out-of-province visitors
Foreign Earnings,ForeignEarnings,Percentage of the number of transactions made within the area by its foreign visitors
Earnings Diversity,EarningsDiversity,Number of top business categories (of 76) enough to cover 80% of the total number of transactions got by the area
Spending Diversity,SpendingDiversity,Number of top business categories (of 76) enough to cover 80% of the total number of transactions made by the area residents
Business Density,BusinessDensity,Number of active businesses within the area per sq.km
Avg Business Size,AvgBusinessSize,Average earnings of an active business within the area 
