id,PROV_ID,NAME_2,GasSpending,TaxiSpending,PublicSpending,CafeSpending,FastSpending,FoodSpending,RecSpending,FashionSpending,MedicalSpending,CulturalSpending,TravelSpending
4,4,Almeria,0.44954,0.30723,0.40453,0.46436,0.2629,0.51363,0.32465,0.5948,0.77507,0.44528,0.13871
11,11,Cadiz,0.45399,0.33714,0.4065,0.40472,0.51181,0.5977,0.36665,0.17325,0.49246,0.29141,0.10557
14,14,Cordoba,0.42248,0.40836,0.43243,0.33447,0.92521,0.87283,0.39511,0.54036,0.37125,0.36531,0.40999
18,18,Granada,0.45558,0.49199,0.71399,0.48379,0.35904,0.55564,0.42823,0.26509,0.43041,0.43235,0.61571
21,21,Huelva,0.50654,0.31775,0.39452,0.21948,0.24904,0.80242,0.27613,0.47859,0.73123,0.29584,0.061235
23,23,Jaen,0.70542,0.33171,0.46204,0.15218,0.1787,0.77562,0.3209,0.36705,0.43455,0.32266,0.32965
29,29,Malaga,0.46401,0.69231,0.39905,0.62635,0.5047,0.61446,0.39579,0.18605,0.90721,0.39918,0.31732
41,41,Sevilla,0.43016,0.44708,0.39803,0.62769,0.88149,0.68278,0.4982,0.33291,0.68464,0.54107,0.31813
22,22,Huesca,0.86034,0.33586,0.47429,0.37431,0.2269,0.63605,0.3846,0.38329,0.34142,0.53593,0.78141
44,44,Teruel,0.80687,0.29423,0.40104,0.21581,0.20714,0.94985,0.56302,0.15779,0.30079,0.32024,0.10211
50,50,Zaragoza,0.336,0.79268,0.4426,0.65501,0.8901,0.13991,0.65555,0.33126,0.45192,0.48929,0.72438
39,39,Cantabria,0.36352,0.3444,0.4053,0.47896,0.25964,0.41411,0.54093,0.51155,0.17347,0.52283,0.38537
2,2,Albacete,0.39556,0.31818,0.39573,0.29201,0.27991,0.81119,0.35272,0.43453,0.41598,0.55132,0.29634
13,13,Ciudad Real,0.75098,0.32139,0.39408,0.14054,0.37141,0.71732,0.28019,0.53232,0.38159,0.31933,0.46858
16,16,Cuenca,0.65526,0.29227,0.39123,0.89706,0.28942,0.90162,0.36674,0.29523,0.047203,0.28138,0.15725
19,19,Guadalajara,0.81932,0.79295,0.39968,0.19149,0.93203,0.71322,0.37826,0.3308,0.13628,0.32983,0.10558
45,45,Toledo,0.90382,0.32916,0.40858,0.22123,0.99745,0.87865,0.30288,0.18921,0.21466,0.35271,0.17752
5,5,Avila,0.97353,0.31118,0.40524,0.20717,0.44278,0.56928,0.426,0.30434,0.2925,0.38423,0.35151
9,9,Burgos,0.76581,0.32222,0.40164,0.27923,0.2618,0.12622,0.31685,0.55843,0.15341,0.44963,0.93919
24,24,Leon,0.78138,0.30768,0.41689,0.43068,0.18259,0.40512,0.4635,0.68162,0.32165,0.37236,0.53685
34,34,Palencia,0.79557,0.30602,0.39637,0.13111,0.31025,0.291,0.35667,0.56415,0.24781,0.33423,0.62339
37,37,Salamanca,0.82078,0.30403,0.3955,0.23183,0.60633,0.23384,0.42189,0.72624,0.3195,0.33951,0.67428
40,40,Segovia,0.88643,0.30439,0.99581,0.27873,0.29818,0.51178,0.31858,0.52333,0.51447,1,0.25948
42,42,Soria,0.29821,0.29469,0.39368,0.20108,0.24752,0.28815,0.38301,0.51771,0.26163,0.62965,0.4985
47,47,Valladolid,0.62792,0.4868,0.40058,0.46891,0.45385,0.26195,0.63709,0.48527,0.61052,0.44661,0.86764
49,49,Zamora,0.91698,0.30338,0.39197,0.062597,0.26512,0.50428,0.25302,0.67382,0.21713,0.40946,0.1783
8,8,Barcelona,0.14413,0.9977,0.50368,0.99903,0.89106,0.38425,0.57318,0.3077,0.94147,0.66477,0.77517
17,17,Girona,0.52498,0.38992,0.43084,0.8731,0.78453,0.68432,0.6196,0.69246,0.29617,0.54429,0.077691
25,25,Lleida,0.24447,0.56776,0.4914,0.69908,0.27156,0.78729,0.89149,0.63665,0.46836,0.46624,0.48413
43,43,Tarragona,0.28175,0.42478,0.4698,0.98135,0.59019,0.74698,0.75753,0.089024,0.3991,0.81724,0.12407
51,51,Ceuta,0.011861,0.32116,0.41006,0.41377,0.31291,0.17777,0.38404,0.90828,0.66078,0.47817,0.84053
52,52,Melilla,0.0019031,0.3218,0.39839,0.18301,0.1696,0.3942,1,1,0.97117,0.69681,0.65846
28,28,Madrid,0.23145,1,0.43032,0.99869,0.99999,0.17117,0.6259,0.19466,0.77691,0.58673,0.88737
31,31,Navarra,0.22143,0.5238,0.44167,0.45909,0.48582,0.032473,0.53426,0.4209,0.67365,0.49838,0.96549
3,3,Alicante,0.54573,0.46968,0.40324,0.69104,0.86524,0.76672,0.47109,0.18269,0.81112,0.36506,0.17073
12,12,Castellon,0.42645,0.35945,0.39453,0.38745,0.63327,0.8669,0.48172,0.13615,0.95155,0.43998,0.47874
46,46,Valencia,0.24819,0.83633,0.39293,0.96577,0.73666,0.71783,0.56325,0.32816,0.96205,0.45736,0.27403
6,6,Badajoz,0.69928,0.30306,0.39338,0.16131,0.34293,0.68059,0.38316,0.47453,0.43665,0.3219,0.37123
10,10,Caceres,0.91086,0.28917,0.3932,0.16716,0.4331,0.62144,0.3144,0.43433,0.30829,0.4306,0.54358
15,15,A Corua,0.45466,0.5101,0.39483,0.52937,0.36507,0.18468,0.40196,0.75479,0.14347,0.36781,0.6655
27,27,Lugo,0.98547,0.29843,0.39223,0.33306,0.24809,0.26514,0.23932,0.9694,0.014409,0.38424,0.12308
32,32,Ourense,0.67556,0.28582,0.39167,0.14295,0.14817,0.34309,0.25934,0.97914,0.16841,0.54977,0.13875
