id,PROV_ID,NAME_2,Percentage of gas/parking/toll spending of area’s residents,Percentage of taxi spending of area’s residents,Percentage of public transportation spending of area’s residents,Percentage of cafes/restaurants spending of area’s residents,Percentage of fastfood spending of area’s residents,Percentage of food spending of area’s residents,Percentage of recreation spending of area’s residents,Percentage of fashion/beauty/jewelry spending of area’s residents,Percentage of medical spending of area’s residents,Percentage of cultural spending of area’s residents,
4,4,Almeria,0.45558,0.73689,0.71399,0.54234,0.44432,0.55564,0.51583,0.25778,0.45865,0.45832,0.66191
11,11,Cadiz,0.336,0.90045,0.4426,0.71226,0.91117,0.13991,0.83776,0.33844,0.48135,0.58885,0.75545
14,14,Cordoba,0.75098,0.30462,0.39408,0.098555,0.46532,0.71732,0.088299,0.56893,0.40605,0.16885,0.51949
18,18,Granada,0.97353,0.23385,0.40524,0.18939,0.57072,0.56928,0.51066,0.30579,0.30632,0.33502,0.39015
21,21,Huelva,0.79557,0.19275,0.39637,0.086502,0.35245,0.291,0.3244,0.60273,0.25471,0.20521,0.66882
23,23,Jaen,0.88643,0.17891,0.99581,0.28872,0.3274,0.51178,0.20467,0.55924,0.54575,1,0.27765
29,29,Malaga,0.24447,0.80041,0.4914,0.7507,0.26902,0.78729,0.96056,0.67679,0.49851,0.53852,0.53553
41,41,Sevilla,0.98547,0.12502,0.39223,0.36126,0.21439,0.26514,0.0099758,0.96887,0.0037279,0.33506,0.099937
22,22,Huesca,0.82078,0.17581,0.3955,0.22386,0.73888,0.23384,0.50103,0.76264,0.33703,0.2185,0.71337
44,44,Teruel,0.32226,0.72732,0.39374,0.85247,0.91624,0.30932,0.76428,0.085345,0.62663,0.52058,0.68292
50,50,Zaragoza,0.50356,0.93547,0.39452,0.74502,0.36769,0.28804,0.21078,0.71667,0.030041,0.24574,0.56707
39,39,Cantabria,0.91086,0.035021,0.3932,0.13401,0.55786,0.62144,0.19133,0.46001,0.32433,0.454,0.59464
2,2,Albacete,0.45399,0.39187,0.4065,0.45123,0.65177,0.5977,0.35421,0.14607,0.52336,0.1072,0.078082
13,13,Ciudad Real,0.39556,0.28376,0.39573,0.30676,0.28778,0.81119,0.31236,0.46024,0.44326,0.7058,0.32382
16,16,Cuenca,0.81932,0.90054,0.39968,0.16753,0.93249,0.71322,0.38772,0.33789,0.12385,0.19428,0.078101
19,19,Guadalajara,0.76581,0.30981,0.40164,0.2894,0.2466,0.12622,0.19914,0.59672,0.14384,0.50008,0.9259
45,45,Toledo,0.1851,0.85782,0.43348,0.40521,0.78886,0.99947,0.80385,0.032034,0.5426,0.8749,0.76823
5,5,Avila,0.50654,0.28088,0.39452,0.2066,0.21666,0.80242,0.07754,0.51009,0.75135,0.11628,0.028941
9,9,Burgos,0.86034,0.38559,0.47429,0.4139,0.16361,0.63605,0.40542,0.4006,0.36165,0.67932,0.80155
24,24,Leon,0.29821,0.088747,0.39368,0.18088,0.21304,0.28815,0.40103,0.55314,0.27077,0.81652,0.55014
34,34,Palencia,0.22143,0.76699,0.44167,0.5148,0.62329,0.032473,0.708,0.44455,0.69916,0.60768,0.94901
37,37,Salamanca,0.24819,0.91354,0.39293,0.95682,0.82915,0.71783,0.74584,0.3347,0.9529,0.51819,0.29605
40,40,Segovia,0.45466,0.75475,0.39483,0.59106,0.45466,0.18468,0.45178,0.78872,0.13221,0.29184,0.70583
42,42,Soria,0.67556,0.0081541,0.39167,0.10169,0.010582,0.34309,0.039075,0.97716,0.16146,0.70321,0.12007
47,47,Valladolid,0.12666,0.90097,0.81734,0.67727,0.6072,0.011521,0.54386,0.74174,0.99688,0.39571,0.92056
49,49,Zamora,0.022648,0.77329,1,0.88495,0.41731,0.030807,0.8574,0.95861,0.56986,0.41882,0.99198
