id,PROV_ID,NAME_2,Percentage of area’s residents nighttime spending,Percentage of area’s residents weekend spending ,Percentage of area’s residents nighttime money spending , Percentage of area’s residents weekend money spending ,Percentage of area’s nighttime earnings ,Percentage of area’s residents weekend earnings ,Percentage of area’s nighttime business transactions , Percentage of area’s residents weekend transactions ,Percentage of area residents’ activity performed outside the province,Percentage of out area residents’ activity performed inside the province,Percentage of money spent by area residents outside their province , Percentage of money spent by out of area residents inside a province , Area’s residents spending in expensive locations.
4,4,Almeria,0.73719,0.60459,0.70154,0.61556,0.4281,0.48029,0.48906,0.57333,0.27778,0.61158,0.7006,0.23542,0.45127
11,11,Cadiz,0.90405,0.79452,0.66013,0.61708,0.67758,0.63633,0.7498,0.64593,0.13012,0.70084,0.56942,0.43557,0.32219
14,14,Cordoba,0.54871,0.6894,0.589,0.70385,0.00019334,0.033026,0.0012177,0.08259,0.57657,0.46917,0.40713,0.54923,0.37215
18,18,Granada,0.18957,0.15257,0.3142,0.24958,0.47331,0.36761,0.51042,0.42747,0.11202,0.054772,0.41606,0.8648,0.97416
21,21,Huelva,0.52321,0.42865,0.42722,0.36902,0.1375,0.21784,0.28374,0.32281,0.3039,0.2693,0.13638,0.88724,0.47092
23,23,Jaen,0.43249,0.91924,0.3374,0.77201,0.92937,0.92935,0.78074,0.86405,0.72686,0.080232,0.45537,0.84281,0.94991
29,29,Malaga,0.88693,0.93701,0.91417,0.96165,0.71378,0.68259,0.56416,0.60526,0.88902,0.60866,0.44558,0.48297,0.32454
41,41,Sevilla,0.67962,0.75275,0.76928,0.74467,0.13496,0.64014,0.20452,0.55811,0.63621,0.14507,0.28326,0.50016,0.74454
22,22,Huesca,0.41753,0.72806,0.3604,0.63321,0.52638,0.67831,0.66172,0.7105,0.56126,0.30166,0.58573,0.36309,0.74946
44,44,Teruel,0.96389,0.87203,0.83775,0.73654,0.69919,0.6617,0.50116,0.59252,0.47524,0.54396,0.67785,0.038207,0.61969
50,50,Zaragoza,0.50606,0.12476,0.46223,0.10454,0.17361,0.44851,0.36572,0.57327,0.86617,0.71436,0.70314,0.24288,0.31868
39,39,Cantabria,0.41753,0.47942,0.43912,0.49383,0.84239,0.62584,0.88877,0.67299,0.44534,0.23581,0.52436,0.77116,0.86833
2,2,Albacete,0.03743,0.023462,0.13761,0.10102,0.40081,0.39244,0.55939,0.50332,0.23737,0.87665,0.81241,0.18695,0.33913
13,13,Ciudad Real,0.52513,0.4742,0.68461,0.69475,0.71968,0.7073,0.60184,0.6551,0.25063,0.34317,0.4345,0.40811,0.50809
16,16,Cuenca,0.68071,0.012356,0.7312,0.01189,0.80857,0.78188,0.79879,0.73962,0.28677,0.59214,0.43398,0.99833,0.72229
19,19,Guadalajara,0.64127,0.62152,0.53379,0.54781,0.68207,0.59088,0.75122,0.58741,0.62997,0.33113,0.52971,0.79633,0.77805
