indicator,get,description
Percentage of gas/parking/toll spending of area’s residents,Percentage of gas/parking/toll spending of area’s residents,Percentage of gas/parking/toll spending of area’s residents
Percentage of taxi spending of area’s residents,Percentage of taxi spending of area’s residents,Percentage of taxi spending of area’s residents
Percentage of public transportation spending of area’s residents,Percentage of public transportation spending of area’s residents,Percentage of public transportation spending of area’s residents
Percentage of cafes/restaurants spending of area’s residents,Percentage of cafes/restaurants spending of area’s residents,Percentage of cafes/restaurants spending of area’s residents
Percentage of fastfood spending of area’s residents,Percentage of fastfood spending of area’s residents,Percentage of fastfood spending of area’s residents
Percentage of food spending of area’s residents,Percentage of food spending of area’s residents,Percentage of food spending of area’s residents
Percentage of recreation spending of area’s residents,Percentage of recreation spending of area’s residents,Percentage of recreation spending of area’s residents
Percentage of fashion/beauty/jewelry spending of area’s residents,Percentage of fashion/beauty/jewelry spending of area’s residents,Percentage of fashion/beauty/jewelry spending of area’s residents
Percentage of medical spending of area’s residents,Percentage of medical spending of area’s residents,Percentage of medical spending of area’s residents
Percentage of cultural spending of area’s residents,Percentage of cultural spending of area’s residents,Percentage of cultural spending of area’s residents
