id,PROV_ID,NAME_2,GasSpending,TaxiSpending,PublicSpending,CafeSpending,FastSpending,FoodSpending,RecSpending,FashionSpending,MedicalSpending,CulturalSpending,TravelSpending
4,4,Almeria,0.449509023,3.07E-01,4.05E-01,0.464375407,0.262899052,0.513668055,0.324651094,0.594808702,0.775065651,0.464375407,0.138715604
11,11,Cadiz,0.453987076,3.37E-01,4.07E-01,0.404723771,0.511815756,0.597739204,0.366647556,0.173261139,0.492458862,0.404723771,0.105567862
14,14,Cordoba,0.422534758,0.408349052,0.432435211,0.334464304,0.925216054,0.872817254,0.395109185,0.54034978,0.371254716,0.334464304,0.409995617
18,18,Granada,0.455568992,0.491987638,0.713990092,0.483795978,0.35905137,0.555656296,0.428230529,0.265118918,0.430387225,0.483795978,0.61571475
21,21,Huelva,0.506558169,3.18E-01,3.95E-01,0.219486391,0.249041394,0.802410584,0.276123051,0.478580001,0.731224908,0.219486391,0.06123364
23,23,Jaen,0.705373521,3.32E-01,0.462039541,0.152185559,0.178693212,0.775600974,0.320903177,0.367015458,0.43453835,0.152185559,0.329661034
29,29,Malaga,0.464017175,0.692305053,3.99E-01,0.626341506,0.504692447,0.614459903,0.395791315,0.186085366,0.907200077,0.626341506,0.317318564
41,41,Sevilla,0.430098428,0.447081878,3.98E-01,0.627675948,0.881484921,0.682757383,0.498199905,0.332915719,0.684653082,0.627675948,0.318133702
22,22,Huesca,0.860378757,3.36E-01,0.474289076,0.374311897,0.226902616,0.636039419,0.384595986,0.383268969,0.341424578,0.374311897,0.781414389
44,44,Teruel,0.806895122,2.94E-01,4.01E-01,0.215814248,0.207137774,0.949850433,0.56302177,0.157768023,0.300777203,0.215814248,0.102111313
50,50,Zaragoza,0.336063824,0.792676067,0.442603995,0.655011494,0.89010087,0.139923889,0.65555554,0.331260239,0.451898559,0.655011494,0.724377295
39,39,Cantabria,0.363520392,3.44E-01,4.05E-01,0.478963507,0.25963991,0.414136117,0.54093396,0.511554282,0.173462122,0.478963507,0.385384427
2,2,Albacete,0.395534713,3.18E-01,3.96E-01,0.29200243,0.279915102,0.811192413,0.352721715,0.434481199,0.415999871,0.29200243,0.296328804
13,13,Ciudad Real,0.750989418,3.21E-01,3.94E-01,0.140530853,0.371417256,0.71728526,0.280185431,0.532379186,0.38160398,0.140530853,0.468589519
16,16,Cuenca,0.655263588,2.92E-01,0.391232355,0.897054213,0.289429692,0.901614675,0.366733769,0.295194926,0.047201602,0.897054213,0.157250959
19,19,Guadalajara,0.819310327,0.792947824,4.00E-01,0.191489237,0.932027939,0.713199731,0.378264166,0.330819333,0.136279157,0.191489237,0.105580137
45,45,Toledo,0.903801385,3.29E-01,4.09E-01,0.221220644,0.997449385,0.878672621,0.302879294,0.189195942,0.214656357,0.221220644,0.177519215
5,5,Avila,0.973530623,3.11E-01,4.05E-01,0.207163939,0.442786247,0.569243986,0.425996685,0.304386954,0.292503122,0.207163939,0.351500521
9,9,Burgos,0.765824712,3.22E-01,4.02E-01,0.279232741,0.261804567,0.126202162,0.316847127,0.558399588,0.153401197,0.279232741,0.939194656
24,24,Leon,0.781336568,3.08E-01,4.17E-01,0.430675525,0.182586548,0.40509547,0.463502935,0.681600001,0.321646116,0.430675525,0.536856703
