PROV_ID,leg_2,leg_3,leg_4,leg_5,leg_6,leg_7,leg_8,leg_9
1,0,2,2,2,2,4,6,7
2,1,1,3,4,3,2,0,1
3,0,0,0,3,1,0,7,4
4,0,2,3,0,3,2,0,4
5,1,1,1,4,5,3,2,2
6,1,1,3,4,3,2,0,1
7,0,0,0,3,1,0,7,4
8,0,0,0,1,1,0,4,3
9,1,1,1,0,0,6,2,0
10,1,1,1,4,3,3,2,1
11,0,0,3,3,3,2,0,4
12,0,0,3,3,3,2,0,4
13,1,1,1,4,0,3,2,2
14,1,1,3,4,3,2,0,1
15,0,2,2,0,2,6,1,0
16,1,1,1,4,5,3,2,2
17,0,0,0,1,1,0,7,5
18,0,2,2,0,2,6,3,0
19,1,1,1,4,3,3,2,1
20,0,2,2,2,2,4,3,7
21,1,1,3,4,3,2,0,1
22,1,1,1,4,0,1,3,2
23,1,1,3,4,3,1,3,1
24,1,1,1,0,5,6,2,0
25,0,0,0,1,1,0,7,5
26,1,2,1,0,0,6,3,0
27,1,1,1,4,5,3,2,2
28,0,0,0,1,1,0,4,3
29,0,0,0,3,1,0,7,4
30,0,0,3,3,3,2,0,4
31,0,2,2,0,2,4,3,0
32,1,1,1,4,5,3,2,1
33,1,2,2,0,2,6,1,0
34,1,1,1,4,0,3,2,2
35,0,0,0,3,1,0,7,8
36,1,2,2,0,0,6,1,0
37,1,2,2,0,2,6,3,0
38,0,0,0,3,1,0,7,4
39,1,2,2,0,2,6,3,0
40,1,1,1,4,5,3,2,2
41,0,0,3,3,3,2,0,4
42,1,1,1,4,5,3,2,2
43,0,0,0,1,1,0,7,5
44,1,1,1,4,5,3,2,2
45,1,1,3,4,3,2,0,1
46,0,0,0,1,1,0,7,4
47,1,2,2,0,2,6,3,0
48,0,2,2,2,2,4,6,7
49,1,1,1,4,5,3,2,2
50,0,2,2,0,2,6,4,0
51,0,2,2,2,4,5,5,6
52,1,2,2,2,4,5,5,6
