PROV_ID,leg_2,leg_3,leg_4,leg_5,leg_6,leg_7,leg_8,leg_9
4,0,0,1,2,1,0,7,5
11,1,1,1,2,2,4,3,1
14,0,0,1,2,1,1,7,5
18,1,2,1,2,1,0,1,3
21,0,0,3,1,1,1,7,5
23,0,0,3,1,1,5,7,5
29,1,1,1,2,2,4,3,1
41,1,1,1,2,2,4,3,1
22,0,0,3,3,1,0,1,0
44,0,0,3,1,3,5,2,4
50,1,2,0,4,0,0,4,2
39,1,2,0,3,0,3,4,2
2,0,0,3,1,3,1,7,4
13,0,0,3,1,3,5,2,4
16,0,0,3,1,3,5,2,4
19,0,0,3,1,3,1,2,4
45,0,0,3,1,3,1,7,4
5,0,0,3,1,3,5,2,4
9,0,2,3,3,1,3,4,0
24,0,0,3,3,1,0,1,0
34,0,0,3,1,3,5,2,4
37,0,0,3,3,1,0,1,0
40,0,0,3,1,3,5,2,4
42,0,0,3,1,3,5,2,4
47,1,2,0,3,0,3,4,2
49,0,0,3,1,3,5,2,4
8,1,1,0,4,0,2,5,8
17,1,1,1,2,4,4,0,3
25,1,1,1,2,4,0,0,3
43,1,1,1,2,4,4,0,1
51,1,2,2,0,5,6,6,6
52,0,2,2,0,5,6,6,6
28,1,1,0,4,0,2,5,8
31,1,2,0,4,0,3,4,2
3,1,1,1,2,2,4,3,1
12,1,1,1,2,2,4,3,1
46,1,1,1,2,2,4,3,1
6,0,0,3,1,1,1,7,5
10,0,0,3,1,1,5,7,0
15,1,2,1,3,2,0,1,7
27,0,0,3,1,3,5,2,4
32,0,0,3,1,3,5,7,5
36,1,2,1,3,1,0,1,7
7,1,1,1,2,2,4,3,1
35,0,1,1,2,4,1,7,3
26,1,2,0,3,0,3,4,2
1,1,2,0,4,0,3,4,2
20,1,2,0,4,0,3,4,2
48,1,2,0,4,0,3,5,8
33,1,2,0,3,0,0,1,7
30,1,1,1,2,2,4,3,1
38,1,1,1,2,2,4,3,1
