PROV_ID,leg_2,leg_3,leg_4,leg_5,leg_6,leg_7,leg_8,leg_9
4,0,0,1,1,2,5,0,3
11,1,1,1,1,3,6,2,8
14,0,0,1,1,2,4,0,3
18,1,2,1,1,2,5,4,6
21,0,0,2,2,2,4,0,3
23,0,0,2,2,2,3,0,3
29,1,1,1,1,3,6,2,8
41,1,1,1,1,3,6,2,8
22,0,0,2,4,2,5,4,5
44,0,0,2,2,0,3,6,0
50,1,2,3,3,5,5,7,1
39,1,2,3,4,5,1,7,1
2,0,0,2,2,0,4,0,0
13,0,0,2,2,0,3,6,0
16,0,0,2,2,0,3,6,0
19,0,0,2,2,0,4,6,0
45,0,0,2,2,0,4,0,0
5,0,0,2,2,0,3,6,0
9,0,2,2,4,2,1,7,5
24,0,0,2,4,2,5,4,5
34,0,0,2,2,0,3,6,0
37,0,0,2,4,2,5,4,5
40,0,0,2,2,0,3,6,0
42,0,0,2,2,0,3,6,0
47,1,2,3,4,5,1,7,1
49,0,0,2,2,0,3,6,0
8,1,1,3,3,5,0,1,7
17,1,1,1,1,1,6,5,6
25,1,1,1,1,1,5,5,6
43,1,1,1,1,1,6,5,8
51,1,2,0,0,4,2,3,4
52,0,2,0,0,4,2,3,4
28,1,1,3,3,5,0,1,7
31,1,2,3,3,5,1,7,1
3,1,1,1,1,3,6,2,8
12,1,1,1,1,3,6,2,8
46,1,1,1,1,3,6,2,8
6,0,0,2,2,2,4,0,3
10,0,0,2,2,2,3,0,5
15,1,2,1,4,3,5,4,2
27,0,0,2,2,0,3,6,0
32,0,0,2,2,0,3,0,3
36,1,2,1,4,2,5,4,2
7,1,1,1,1,3,6,2,8
35,0,1,1,1,1,4,0,6
26,1,2,3,4,5,1,7,1
1,1,2,3,3,5,1,7,1
20,1,2,3,3,5,1,7,1
48,1,2,3,3,5,1,1,7
33,1,2,3,4,5,5,4,2
30,1,1,1,1,3,6,2,8
38,1,1,1,1,3,6,2,8
