PROV_ID,leg_2,leg_3,leg_4,leg_5,leg_6,leg_7,leg_8,leg_9
4,0,0,1,1,4,4,5,5
11,1,1,1,1,1,1,1,1
14,0,0,1,1,4,5,5,5
18,1,2,1,1,4,4,4,7
21,0,0,0,0,4,5,5,5
23,0,0,0,0,4,0,5,5
29,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1
22,0,0,0,4,4,4,4,4
44,0,0,0,0,0,0,0,0
50,1,2,2,2,2,4,2,2
39,1,2,2,4,2,2,2,2
2,0,0,0,0,0,5,5,0
13,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
19,0,0,0,0,0,5,0,0
45,0,0,0,0,0,5,5,0
5,0,0,0,0,0,0,0,0
9,0,2,0,4,4,2,2,4
24,0,0,0,4,4,4,4,4
34,0,0,0,0,0,0,0,0
37,0,0,0,4,4,4,4,4
40,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0
47,1,2,2,4,2,2,2,2
49,0,0,0,0,0,0,0,0
8,1,1,2,2,2,6,6,6
17,1,1,1,1,5,1,7,7
25,1,1,1,1,5,4,7,7
43,1,1,1,1,5,1,7,1
51,1,2,3,3,3,3,3,3
52,0,2,3,3,3,3,3,3
28,1,1,2,2,2,6,6,6
31,1,2,2,2,2,2,2,2
3,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1
6,0,0,0,0,4,5,5,5
10,0,0,0,0,4,0,5,4
15,1,2,1,4,1,4,4,8
27,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,5,5
36,1,2,1,4,4,4,4,8
7,1,1,1,1,1,1,1,1
35,0,1,1,1,5,5,5,7
26,1,2,2,4,2,2,2,2
1,1,2,2,2,2,2,2,2
20,1,2,2,2,2,2,2,2
48,1,2,2,2,2,2,6,6
33,1,2,2,4,2,4,4,8
30,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1,1
