PROV_ID,leg_2,leg_3,leg_4,leg_5,leg_6,leg_7,leg_8,leg_9
4,0,0,0,0,0,0,0,6
11,0,0,0,0,0,0,0,0
14,0,0,0,4,0,0,6,6
18,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,6,6
29,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0
22,1,1,1,1,4,4,4,4
44,1,2,2,2,4,4,4,4
50,1,1,1,1,5,5,1,1
39,1,1,1,1,1,5,1,1
2,0,0,3,4,0,6,6,7
13,0,0,0,4,0,0,6,6
16,1,2,2,2,2,2,2,2
19,1,1,3,3,5,6,5,7
45,0,2,3,4,2,2,2,2
5,1,2,2,2,2,2,2,2
9,1,1,1,1,1,1,1,5
24,1,2,2,2,4,4,4,4
34,1,1,1,1,5,5,7,1
37,1,1,1,1,4,4,4,4
40,1,1,1,1,4,4,4,4
42,1,1,1,1,1,4,4,4
47,1,1,1,1,5,5,5,5
49,1,2,2,2,2,2,4,4
8,1,1,1,3,5,5,5,5
17,0,0,3,3,3,3,3,3
25,1,1,1,1,5,5,7,1
43,0,0,3,3,3,3,3,3
51,0,0,0,0,0,0,0,8
52,0,0,0,0,0,0,0,8
28,1,1,1,1,5,5,5,5
31,1,1,1,1,1,1,1,5
3,0,0,3,4,0,6,6,7
12,0,0,3,3,3,3,3,3
46,0,0,3,3,3,3,3,3
6,0,0,0,0,0,0,6,6
10,0,0,3,4,2,6,6,7
15,1,1,1,1,1,5,1,1
27,1,2,2,2,4,4,4,4
32,1,2,2,2,2,6,7,7
36,0,0,3,3,3,6,3,7
7,0,0,3,3,3,3,3,3
35,0,0,0,0,0,0,0,0
26,1,1,1,1,5,5,5,5
1,1,1,1,1,1,1,1,5
20,1,1,1,1,1,1,1,5
48,1,1,1,1,1,5,1,1
33,1,1,1,1,5,5,1,1
30,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
