PROV_ID,leg_2,leg_3,leg_4,leg_5,leg_6,leg_7,leg_8,leg_9
4,0,2,1,0,1,1,0,1
11,0,2,1,0,1,1,0,7
14,0,2,1,2,1,1,6,1
18,0,2,1,0,1,1,0,7
21,0,2,1,0,1,1,0,7
23,0,2,1,0,1,1,6,1
29,0,2,1,0,1,1,0,7
41,0,2,1,0,1,1,0,7
22,1,1,0,1,0,2,1,2
44,1,0,3,3,0,2,1,2
50,1,1,0,1,2,5,2,0
39,1,1,0,1,3,5,2,0
2,0,2,2,2,1,0,6,3
13,0,2,1,2,1,1,6,1
16,1,0,3,3,5,3,5,6
19,1,1,2,4,2,0,7,3
45,0,0,2,2,5,3,5,6
5,1,0,3,3,5,3,5,6
9,1,1,0,1,3,4,2,5
24,1,0,3,3,0,2,1,2
34,1,1,0,1,2,5,3,0
37,1,1,0,1,0,2,1,2
40,1,1,0,1,0,2,1,2
42,1,1,0,1,3,2,1,2
47,1,1,0,1,2,5,7,5
49,1,0,3,3,5,3,1,2
8,1,1,0,4,2,5,7,5
17,0,2,2,4,4,6,4,4
25,1,1,0,1,2,5,3,0
43,0,2,2,4,4,6,4,4
51,0,2,1,0,1,1,0,8
52,0,2,1,0,1,1,0,8
28,1,1,0,1,2,5,7,5
31,1,1,0,1,3,4,2,5
3,0,2,2,2,1,0,6,3
12,0,2,2,4,4,6,4,4
46,0,2,2,4,4,6,4,4
6,0,2,1,0,1,1,6,1
10,0,2,2,2,5,0,6,3
15,1,1,0,1,3,5,2,0
27,1,0,3,3,0,2,1,2
32,1,0,3,3,5,0,3,3
36,0,2,2,4,4,0,4,3
7,0,2,2,4,4,6,4,4
35,0,2,1,0,1,1,0,7
26,1,1,0,1,2,5,7,5
1,1,1,0,1,3,4,2,5
20,1,1,0,1,3,4,2,5
48,1,1,0,1,3,5,2,0
33,1,1,0,1,2,5,2,0
30,0,2,1,0,1,1,0,7
38,0,2,1,0,1,1,0,7
