PROV_ID,leg_2,leg_3,leg_4,leg_5,leg_6,leg_7,leg_8,leg_9
4,0,0,0,0,3,2,4,3
11,0,0,0,0,3,2,4,5
14,0,0,0,3,3,2,6,3
18,0,0,0,0,3,2,4,5
21,0,0,0,0,3,2,4,5
23,0,0,0,0,3,2,6,3
29,0,0,0,0,3,2,4,5
41,0,0,0,0,3,2,4,5
22,1,1,1,1,1,3,5,4
44,1,2,2,4,1,3,5,4
50,1,1,1,1,4,4,0,0
39,1,1,1,1,5,4,0,0
2,0,0,3,3,3,6,6,6
13,0,0,0,3,3,2,6,3
16,1,2,2,4,2,1,3,1
19,1,1,3,2,4,6,7,6
45,0,2,3,3,2,1,3,1
5,1,2,2,4,2,1,3,1
9,1,1,1,1,5,5,0,2
24,1,2,2,4,1,3,5,4
34,1,1,1,1,4,4,1,0
37,1,1,1,1,1,3,5,4
40,1,1,1,1,1,3,5,4
42,1,1,1,1,5,3,5,4
47,1,1,1,1,4,4,7,2
49,1,2,2,4,2,1,5,4
8,1,1,1,2,4,4,7,2
17,0,0,3,2,0,0,2,7
25,1,1,1,1,4,4,1,0
43,0,0,3,2,0,0,2,7
51,0,0,0,0,3,2,4,8
52,0,0,0,0,3,2,4,8
28,1,1,1,1,4,4,7,2
31,1,1,1,1,5,5,0,2
3,0,0,3,3,3,6,6,6
12,0,0,3,2,0,0,2,7
46,0,0,3,2,0,0,2,7
6,0,0,0,0,3,2,6,3
10,0,0,3,3,2,6,6,6
15,1,1,1,1,5,4,0,0
27,1,2,2,4,1,3,5,4
32,1,2,2,4,2,6,1,6
36,0,0,3,2,0,6,2,6
7,0,0,3,2,0,0,2,7
35,0,0,0,0,3,2,4,5
26,1,1,1,1,4,4,7,2
1,1,1,1,1,5,5,0,2
20,1,1,1,1,5,5,0,2
48,1,1,1,1,5,4,0,0
33,1,1,1,1,4,4,0,0
30,0,0,0,0,3,2,4,5
38,0,0,0,0,3,2,4,5
