id,PROV_ID,NAME_2,GDP,HousingPrice,UnemploymentRate,HighEdu,CrimeRate,LifeExp
4,4,Almeria,16855,0.166899301,0.257624974,15.75,0.005440946,80.871533
11,11,Cadiz,16916,0.163487651,0.25644907,21.27,0.006855545,80.326269
14,14,Cordoba,16396,0.152012082,0.249338997,18.65,0.003910123,81.688236
18,18,Granada,16133,0.133686658,0.21427977,22.77,0.00473744,81.20119
21,21,Huelva,17959,0.168401128,0.264477829,19.43,0.005638277,80.689071
23,23,Jaen,15858,0.127199523,0.211236912,16.84,0.004481062,81.022236
29,29,Malaga,17267,0.149031847,0.235491242,19.63,0.0056236,81.345119
41,41,Sevilla,18223,0.137275903,0.218058505,22.89,0.004697863,80.63937
22,22,Huesca,26258,0.0696266,0.114211831,22.13,0.003459435,82.783963
44,44,Teruel,24996,0.068461416,0.11627907,17.97,0.003098052,82.667592
50,50,Zaragoza,25150,0.08825418,0.141064106,27.34,0.003794211,82.232546
39,39,Cantabria,22055,0.076544246,0.11971532,27.78,0.004413939,82.497998
2,2,Albacete,18113,0.12328556,0.200798335,18.73,0.004446731,82.506768
13,13,Ciudad Real,18214,0.126561984,0.207461182,16.88,0.004690904,82.006075
16,16,Cuenca,18549,0.085334356,0.143496244,12.58,0.003011801,83.152353
19,19,Guadalajara,19584,0.108398548,0.170003547,25.63,0.004328143,83.663473
45,45,Toledo,17450,0.125275365,0.201808532,18.23,0.003249241,83.282729
5,5,Avila,19011,0.09785529,0.166042778,14.65,0.003445201,82.752603
9,9,Burgos,27128,0.070543075,0.113857047,28.97,0.004211288,83.057755
24,24,Leon,20688,0.078545758,0.129861072,19.91,0.003684218,83.05488
34,34,Palencia,23019,0.082135284,0.133314423,21.23,0.004234919,82.443599
37,37,Salamanca,19264,0.077623475,0.130126707,25.91,0.003062444,84.033022
40,40,Segovia,21769,0.07614105,0.125710263,21.79,0.003971517,83.403296
42,42,Soria,23816,0.063009987,0.107677399,21.27,0.004389696,84.160706
47,47,Valladolid,24176,0.091049481,0.143161608,30.42,0.003606457,83.044544
49,49,Zamora,19132,0.071360978,0.124369142,15.23,0.004023104,83.449587
8,8,Barcelona,26531,0.105622996,0.166919237,25.66,0.004021089,82.695078
17,17,Girona,26722,0.120109407,0.190288384,20.41,0.004657708,82.659864
25,25,Lleida,26943,0.086817331,0.138691246,19.6,0.004462953,82.128234
43,43,Tarragona,26792,0.111781967,0.17732611,20.83,0.00540793,82.311831
51,51,Ceuta,19555,0.129892202,0.209225475,16.07,0.021887443,79.537459
52,52,Melilla,17824,0.104490545,0.171943804,17.51,0.015902951,79.996952
28,28,Madrid,29576,0.095382207,0.1466654,33.32,0.004218082,83.719497
31,31,Navarra,29134,0.068374631,0.109640633,30.64,0.004423325,83.551723
3,3,Alicante,17405,0.120984816,0.194823847,21.04,0.005261288,82.275735
12,12,Castellon,22597,0.126583535,0.199066858,20.02,0.005386005,81.97059
46,46,Valencia,21091,0.120796411,0.189528418,24.58,0.005137047,81.485652
6,6,Badajoz,15617,0.138920713,0.227603809,17.94,0.004399636,81.432226
10,10,Caceres,15715,0.107835916,0.178830179,17.54,0.004219562,82.324651
15,15,A Corua,21898,0.07671359,0.12253861,26.77,0.004043155,82.02099
27,27,Lugo,19459,0.054902853,0.093339072,18.9,0.003436407,82.389612
32,32,Ourense,19305,0.081918759,0.142338735,16.15,0.004531038,81.994846
36,36,Pontevedra,19548,0.109184016,0.17267982,20.94,0.004698441,82.290136
7,7,Baleares,23769,0.134577411,0.204627756,18.12,0.006373112,82.003609
35,35,Las Palmas,19438,0.162810626,0.243401847,18.76,0.005653704,81.400339
26,26,La Rioja,25537,0.093201839,0.149428597,26.91,0.004142992,82.90862
1,1,Alava,35175,0.061398315,0.095206175,32.45,0.004792828,83.085626
20,20,Guipzcoa,31442,0.054255384,0.087227019,38.36,0.004062812,82.782527
48,48,Vizcaya,28618,0.074322617,0.117638036,33.37,0.003545682,82.213151
33,33,Asturias,21310,0.084975594,0.13409794,25.34,0.004347718,81.374036
30,30,Murcia,18470,0.13053809,0.207694997,19.58,0.005510626,81.729608
38,38,Santa Cruz de Tenerife,19205,0.146534873,0.222641571,20.69,0.005393338,81.427188
