id,PROV_ID,NAME_2,MoneyEarned,AvgTransactionEarned,OutofProvinceEarnings,ForeignEarnings,EarningsDiversity,BusinessDensity,NightTimeEarning,WeekendEarning,NightTimeTransactions,WeekendTransactions,SpendingExpensive
4,4,Almeria,4.11E-01,0.557802738,0.158031066,0.310043568,0.765056399,0.408818713,0.432856403,0.665280868,0.383678314,0.562440055,0.144501327
11,11,Cadiz,4.32E-01,0.071259069,0.306057806,0.447686983,0.576672671,0.438477808,0.436823333,0.3924533,0.559448678,0.503295442,0.188068121
14,14,Cordoba,4.11E-01,0.159309769,0.410347905,0.337265168,0.368478632,0.402681621,0.433771576,0.781562908,0.62219175,0.682055356,0.31318065
18,18,Granada,4.14E-01,0.636815389,0.275363573,0.494935537,0.576672671,0.409664979,0.433601268,0.480284954,0.488957974,0.573349297,0.252092713
21,21,Huelva,4.11E-01,0.142558665,0.161372944,0.333465016,0.368478632,0.400944336,0.432362142,0.930746828,0.883303775,0.91100812,0.191981972
23,23,Jaen,4.09E-01,0.308597568,0.564439837,0.936789491,0.193475641,0.396792856,0.432382175,0.488600117,0.363760158,0.559949693,0.414311028
29,29,Malaga,4.37E-01,0.12982575,0.109269254,0.979978262,0.894703518,0.467807724,0.435013722,0.669996287,0.707786838,0.689898666,0.466784444
41,41,Sevilla,4.25E-01,0.1776397,0.356465159,0.422439375,0.765056399,0.429349256,0.435318293,0.483169019,0.552267286,0.511933948,0.294429688
22,22,Huesca,4.08E-01,0.874596382,0.808602511,0.593173576,0.368478632,0.39166936,0.433281606,0.363495585,0.036428734,0.223786731,0.536263232
44,44,Teruel,0.406442606,0.399525011,0.723892004,0.237257869,0.081593375,0.3882804,4.32E-01,0.044078954,0.79618424,0.05434331,0.264340205
50,50,Zaragoza,4.12E-01,0.436217296,0.375508832,0.275709212,0.894703518,0.401720033,0.436539835,0.636301588,0.749904593,0.645951945,0.396580194
39,39,Cantabria,4.20E-01,0.848854135,0.507548392,0.32882376,0.576672671,0.427227363,0.441342872,0.678202342,0.644430442,0.659945945,0.214739232
