id,PROV_ID,NAME_2,ActivityEarned,CustomerActivity,CustomerAvgTransaction,SpendingDiversity,NightTime,Weekend,NightTimeMoney,WeekendMoney,ActivityOutside,ActivityInside,MoneyOutside
4,4,Almeria,0.408018637,0.611149398,0.390701613,0.641287258,0.310043568,0.271865508,3.65E-01,4.33E-01,0.433506329,4.33E-01,0.433521585
11,11,Cadiz,0.437107885,0.808682933,0.04696276,0.641287258,0.447686983,0.210371469,3.15E-01,4.37E-01,0.441411506,4.37E-01,0.441415741
14,14,Cordoba,0.408514354,0.416525003,0.195728056,0.368777024,0.337265168,0.455292821,3.27E-01,4.34E-01,0.435085342,4.34E-01,0.435098434
18,18,Granada,0.411215705,0.245360543,0.651659883,0.641287258,0.494935537,0.455292821,3.23E-01,4.34E-01,0.43396433,4.34E-01,0.433978973
21,21,Huelva,0.40810472,0.522451947,0.110674203,0.368777024,0.333465016,0.210371469,3.54E-01,4.32E-01,0.432931518,4.32E-01,4.33E-01
23,23,Jaen,0.405947021,0.042419756,0.449079984,0.041896858,0.936789491,0.210371469,3.50E-01,4.32E-01,0.432902294,4.32E-01,4.33E-01
29,29,Malaga,0.443355253,0.750689244,0.094863036,0.855176789,0.979978262,0.271865508,3.15E-01,4.35E-01,0.43454914,4.35E-01,0.434562958
41,41,Sevilla,0.426049998,0.632639892,0.201184818,0.641287258,0.422439375,0.305654963,3.15E-01,4.35E-01,0.435358364,4.35E-01,0.43537108
22,22,Huesca,0.403578991,0.19896803,0.511355337,0.151014966,0.593173576,0.080907998,4.80E-01,4.33E-01,0.43403255,4.33E-01,0.434047108
44,44,Teruel,0.402288575,0.123510699,0.243313683,0.151014966,0.237257869,0.573239826,1.00E+00,0.432027502,0.432717218,0.432027502,4.33E-01
50,50,Zaragoza,0.409143228,0.335921055,0.456503937,0.855176789,0.275709212,0.898555966,3.21E-01,4.37E-01,0.436821501,4.37E-01,0.436832236
39,39,Cantabria,0.417495258,0.406271299,0.794611539,0.368777024,0.32882376,0.455292821,3.34E-01,4.41E-01,0.443464943,4.41E-01,0.4434666
