id,PROV_ID,NAME_2,GDP,HousingPrice,UnemploymentRate,HighEdu,CrimeRate,LifeExp
4,4,Almeria,0.149576029,0.973648256,0.966469311,0.12619433,0.557702126,0.091665173
11,11,Cadiz,0.152710725,0.966364929,0.964615561,0.44513617,0.732219796,0.03097071
14,14,Cordoba,0.127370429,0.928995238,0.951542721,0.269035277,0.356352648,0.298913753
18,18,Granada,0.115734364,0.813546342,0.825198545,0.553921345,0.463833973,0.157105053
21,21,Huelva,0.212971706,0.976408552,0.975746762,0.317929915,0.583681989,0.065524157
23,23,Jaen,0.104396737,0.753856463,0.808523146,0.172125727,0.429849524,0.118525862
29,29,Malaga,0.171589114,0.915350854,0.915245008,0.33104695,0.581760753,0.193545334
41,41,Sevilla,0.230178609,0.842337959,0.844580356,0.562557934,0.458564157,0.059515876
22,22,Huesca,0.847028421,0.129860507,0.128618482,0.507526346,0.301752675,0.70879687
44,44,Teruel,0.772474892,0.122261109,0.137808535,0.22973021,0.260904847,0.668381607
50,50,Zaragoza,0.782538004,0.294521302,0.281653715,0.833713327,0.341968357,0.503063439
39,39,Cantabria,0.540652348,0.181642506,0.154055384,0.852952444,0.421026792,0.605916337
2,2,Albacete,0.222916277,0.713409788,0.744316882,0.273871776,0.425332347,0.609230692
13,13,Ciudad Real,0.229579491,0.747483385,0.78652635,0.173992711,0.457638267,0.414882017
16,16,Cuenca,0.252459913,0.263625649,0.298865604,0.042477142,0.251593672,0.819142453
19,19,Guadalajara,0.330041307,0.537598908,0.508063624,0.744446246,0.409807721,0.921417833
45,45,Toledo,0.181998997,0.734361809,0.75098466,0.244367261,0.277643552,0.850899097
5,5,Avila,0.285882233,0.406033992,0.475420258,0.089286981,0.300090679,0.698132821
9,9,Burgos,0.887732592,0.136063177,0.127085051,0.897276474,0.394646936,0.793631342
24,24,Leon,0.421640636,0.198756988,0.209116237,0.349761564,0.328527118,0.792824031
34,34,Palencia,0.623040895,0.231782802,0.230222539,0.44225522,0.397700783,0.5851951
37,37,Salamanca,0.30503508,0.190753142,0.210698166,0.760581381,0.257039441,0.962301469
40,40,Segovia,0.515697966,0.178309856,0.185317469,0.48279724,0.364056643,0.876740877
42,42,Soria,0.68731529,0.090857243,0.10239787,0.44513617,0.417849743,0.971518186
47,47,Valladolid,0.714711088,0.325575692,0.296469276,0.937066006,0.319155532,0.789906256
49,49,Zamora,0.29497097,0.141767406,0.17800248,0.107600164,0.370572915,0.885775641
8,8,Barcelona,0.860737552,0.502771791,0.482637228,0.746201766,0.370317676,0.678129623
17,17,Girona,0.869816519,0.678430705,0.669843651,0.384078647,0.453224815,0.665619808
25,25,Lleida,0.879800139,0.279109426,0.265335999,0.329065614,0.427465609,0.462201749
43,43,Tarragona,0.873038991,0.579640817,0.568109863,0.41363804,0.553327848,0.534122868
51,51,Ceuta,0.327741327,0.779795739,0.796982818,0.138692441,0.999999992,0.004116869
52,52,Melilla,0.204470911,0.488540829,0.524048453,0.205077877,0.999870728,0.014243132
28,28,Madrid,0.960060657,0.376126928,0.321982353,0.980273691,0.395524274,0.929186641
31,31,Navarra,0.950983189,0.121707851,0.109830869,0.941876102,0.422258223,0.904018203
3,3,Alicante,0.179403273,0.688248978,0.703061093,0.42861492,0.533828115,0.519996829
12,12,Castellon,0.58742843,0.747700228,0.732675149,0.357217955,0.55041939,0.401333999
46,46,Valencia,0.456473363,0.686146851,0.664134582,0.67926339,0.517241457,0.233697846
6,6,Badajoz,0.095141914,0.854499852,0.887005256,0.228073499,0.419151745,0.217914647
10,10,Caceres,0.098829635,0.530553696,0.58029635,0.206636092,0.395715464,0.539130525
15,15,A Corua,0.526967118,0.183053781,0.168316412,0.806480725,0.373115855,0.42060786
27,27,Lugo,0.320174496,0.055816638,0.058865904,0.284289946,0.299065945,0.564393531
32,32,Ourense,0.308191811,0.229707812,0.290614465,0.141944423,0.436441516,0.410583054
36,36,Pontevedra,0.327187133,0.547414268,0.53010341,0.421468856,0.458641069,0.525636618
7,7,Baleares,0.683656355,0.820978949,0.76909271,0.238114074,0.676435225,0.413937029
35,35,Las Palmas,0.318529033,0.96473848,0.937888164,0.275696481,0.585699247,0.208795107
26,26,La Rioja,0.806661781,0.350356837,0.342720356,0.813409404,0.385857949,0.749349904
1,1,Alava,0.998555082,0.082832633,0.063533066,0.971334886,0.471219541,0.801360527
20,20,Guipzcoa,0.984636631,0.053558047,0.045447497,0.998551736,0.375614204,0.708312418
48,48,Vizcaya,0.938378881,0.16376242,0.144088418,0.98070595,0.311910299,0.495455494
33,33,Asturias,0.475561341,0.259946737,0.235171943,0.727154905,0.412361293,0.201444675
30,30,Murcia,0.246958204,0.785776228,0.787929883,0.327747382,0.566910312,0.313183309
38,38,Santa Cruz de Tenerife,0.300517858,0.902477725,0.866110112,0.4037214,0.551392457,0.216458708
